receptor,van_der_Waals,hydrogen_bonding,hydrophobic_contact,tors,exp_binding_affinity
3cj2,-310.855,0,53.2126,1.5,4.85
3cj5,-417.628,0,57.9232,5,6.34
3ckb,-416.948,0,0,12.5,2.98
3cke,-411.143,0,91.2948,13,6.1
3ckp,-718.733,0,66.1666,12.5,6.35
3ckz,-473.527,0.947881,9.82184,7.5,8.72
3cl0,-386.333,1.47206,18.9592,5.5,7.07
3cm2,-469.256,0,55.6796,8,6.47
3cow,-722.999,0.204258,18.2716,8.5,6.9
3cr5,-271.638,0,66.6831,11.5,4.19
3cs7,-718.244,0,85.8313,7,10.68
3ctt,-328.259,0,0,3.5,6.35
3cyw,-738.619,0,69.9754,11,7.77
3cyz,-278.043,0,68.8667,7,7.22
3cz1,-311.677,0,58.0302,5,7.26
3czv,-273.23,0,3.24473,2.5,7.8
3d0b,-581.123,0,106.88,6,6.54
3d0e,-686.329,0,45.6029,8,8.4
3d1x,-871.078,0,108.85,11.5,8.66
3d1y,-870.365,0,109.638,11.5,8.22
3d1z,-750.566,0,69.3321,11,8.8
3d2e,-722.851,0.539553,0,9,6.42
3d4y,-342.392,0,0,3,5.7
3d50,-388.894,0,19.9164,11,4.77
3d51,-321.358,0,0,3.5,4.15
3d52,-420.708,0,9.71155,6,3.28
3d6o,-279.132,0.369438,2.94634,4,4.11
3d6p,-284.93,1.16374,3.01997,4,3.75
3d78,-311.243,0,54.4168,5,7.64
3d7b,-286.819,0.358097,2.9634,4,3.69
3d7k,-893.963,0.951744,42.4193,12,4.6
3d7z,-624.997,0,125.617,6,7.92
3d83,-719.033,0,96.0095,7,8.36
3d8w,-331.918,0,26.4146,3.5,8.15
3d8y,-280.96,0,7.63478,3.5,3.4
3d8z,-289.75,0,6.12414,3.5,3.37
3d91,-801.831,0.201741,95.9883,14,9.15
3d9z,-305.169,0,20.2259,1.5,8.7
3da9,-489.463,0,95.9578,6.5,5.51
3daz,-289.282,0,7.48016,2.5,7.93
3dbu,-332.129,0,26.8745,4.5,8.06
3dc3,-268.72,0,4.18337,4,8.31
3dcc,-311.36,0,19.7806,1.5,8.96
3dd8,-369.153,0,46.7949,4.5,7.85
3ddf,-386.06,0.0116717,13.672,5.5,4.66
3ddg,-420.516,0.0141697,14.3043,5.5,6
3dgo,-454.283,0,0,9,6.74
3dhv,-513.887,0,0,5,2.96
3djk,-753.885,0.217877,68.4232,11.5,10.59
3djo,-301.33,2.81163,3.82554,5,4.39
3djp,-334.928,0,3.17025,5,4.2
3djq,-327.441,0,2.94397,7,2.98
3djv,-364.015,0.768681,3.48612,5.5,4.55
3djx,-344.442,0.708267,3.71257,5.5,2.81
3dk1,-770.112,0.273476,73.5413,11.5,9.74
3dln,-285.36,0,14.1021,4.5,6.6
3dnd,-291.189,0,37.3831,2,4.8
3dne,-359.348,0,52.9894,1,5.22
3dnt,-683.754,0.633253,0,9,4.74
3dp4,-358.921,0,21.8461,4,7.37
3dp9,-630.281,0,40.2984,7.5,9.68
3drf,-831.373,0,46.0405,19,7
3drg,-1166.98,0,99.2553,21,7
3dri,-355.424,0,2.01652,12.5,4.42
3dsz,-649.293,1.5162,45.1674,19.5,7.77
3dx3,-272.943,0,0,2.5,6.52
3dx4,-301.937,0,0,3,7.12
3dxh,-328.055,0.70077,2.7446,7,3.19
3dyo,-315.15,0,12.5951,5,2.3
3dzt,-566.835,0,139.862,15.5,7.22
3e12,-403.475,0.665438,0.00526508,11,5.99
3e3c,-377.976,0,43.8345,10.5,5.62
3e5u,-288.758,0,50.2064,2.5,5.85
3e6y,-406.551,0.731375,33.3194,12.5,5.6
3e85,-289.388,0,80.9817,2,5.38
3eax,-378.981,0,30.8106,14,4.92
3eb1,-299.091,0.616777,33.9065,7.5,4.79
3ebh,-519.708,1,62.3481,8,6.32
3ebi,-595.855,1,74.7227,8.5,7.1
3ebl,-514.823,0,66.1246,1.5,6.3
3ebo,-427.939,0,80.4302,2,4.72
3ed0,-352.814,0,63.8379,1.5,6.35
3eeb,-488.188,0.716852,0,12,5.89
3efs,-541.762,0.766428,0,9,5.34
3eft,-353.359,0,35.8482,5,7.92
3egt,-529.568,0,55.9094,10,8.9
3ehx,-553.602,0,60.257,6,7.6
3ejp,-471.134,0,27.8858,4.5,8.55
3ejq,-486.152,0,29.6527,4.5,8.57
3eko,-333.891,0,18.3062,2.5,6.7
3ekp,-706.919,0,66.5811,11,8.89
3ekr,-417.699,0,32.5251,3,7.52
3ekt,-754.129,0,63.5224,11,10.59
3ekv,-711.265,0,77.0168,11,9.41
3ekw,-903.245,0,106.317,14.5,7.96
3ekx,-783.705,0,85.3855,10,9.41
3el1,-860.856,0,103.498,14.5,9.64
3el4,-845.088,0,90.6076,11.5,7.17
3el5,-784.097,0,74.8493,10,7.72
3el9,-877.454,0,98.9314,14.5,8.4
3elc,-321.881,0,1.68779,3.5,2.69
3eqr,-734.082,0,67.5341,9,8.7
3ery,-1072.43,1,125.918,23,5.66
3evd,-418.307,0.908671,0,9.5,6.91
3ewc,-543.975,0,0,4.5,7.7
3ewj,-495.959,0,24.4408,11,6.84
3exe,-631.243,0,29.8696,8,6.96
3exh,-585.359,0.0877179,30.0035,8,4.88
3f15,-454.344,0,16.5027,8.5,8.1
3f16,-429.522,0,17.9072,6,8.23
3f17,-498.153,0,47.7905,5.5,8.63
3f18,-386.379,1.23177,19.0986,6,7.4
3f19,-359.087,1.13457,17.3633,4.5,7.19
3f1a,-339.048,0,18.896,4.5,7.21
3f33,-308.558,0,67.117,2.5,3.34
3f34,-265.62,0,50.787,2.5,3.16
3f37,-216.164,0,42.3953,0.5,2.62
3f3t,-591.407,0,89.4459,3.5,4.59
3f3u,-533.899,0,70.858,3.5,4.74
3f48,-209.11,0,9.40826,1.5,6.29
3f5j,-774.599,0,0,17,4.28
3f5k,-824.124,0.212328,0,21.5,4.62
3f5l,-499.518,0.0909097,0,8,3.72
3f68,-595.943,0,74.8313,6,5.06
3f6e,-888.902,0.624321,62.1741,13,2.38
3f6g,-286.42,0.485171,37.5402,3.5,4.72
3f70,-171.947,0,18.5193,6.5,4.85
3f78,-243.043,0,56.2467,3,3.1
3f7g,-490.247,0,50.5036,7.5,7.37
3f7h,-532.706,0,52.6554,7,7.09
3f7i,-527.892,0,58.155,6,7.34
3f80,-317.168,0,5.0969,6.5,4.22
3f8c,-625.144,0,84.9993,4,7.68
3f8e,-210.423,0,23.3025,7,7.23
3f8f,-586.935,0,84.7115,7,6.63
3fas,-291.121,0,14.2542,4.5,6.77
3fat,-369.832,0.743824,23.848,4,7.64
3fed,-483.338,0,13.7185,9.5,7.46
3fee,-338.96,0.90473,0,3.5,6.64
3ff3,-265.577,0,7.98867,4.5,3.57
3ffg,-880.507,0,117.372,7.5,9.08
3ffp,-349.634,0,14.8445,2.5,7.14
3fh7,-752.586,0,111.92,9,7.6
3fhb,-299.95,0,39.117,1.5,5.7
3fj7,-270.085,0.717353,3.77619,3,3.71
3fjg,-283.095,0.986065,0,4.5,3.73
3fjz,-248.934,0.972735,0,4,4.05
3fk1,-236.439,1,0,4,2.62
3fl5,-498.869,0.758837,67.8461,2,7.28
3fqe,-504.842,0,42.0226,5.5,8.3
3fql,-729.831,0,67.5015,6.5,7.15
3fuc,-544.081,0.930462,23.6962,6.5,9.72
3fuz,-281.104,0,12.4462,4.5,6.54
3fv3,-697.959,0.467718,69.9064,19,9.52
3fvh,-513.877,1.42561,13.7269,15,6.35
3fvk,-483.522,1.0133,15.9968,5,8.82
3fvl,-350.394,0,23.6254,5.5,6.07
3fvn,-483.29,0,14.9541,5,6.77
3fwv,-550.099,2.71857,56.5529,17,5.64
3fx6,-362.949,0.0726927,25.6551,7,6.8
3fzn,-904.535,0,48.8092,12,4.01
3fzy,-517.643,0,0,12,6.74
3g08,-843.985,0,215.399,35,8.16
3g0e,-474.651,0,73.4066,2,7.7
3g0i,-247.823,0.727043,47.2701,4.5,3.6
3g19,-367.622,0.947779,27.42,9.5,6.67
3g1d,-483.848,0,6.97217,5,3.48
3g1v,-480.381,0,6.4774,5,3.19
3g2h,-480.911,0,19.8743,5,3.82
3g2i,-441.763,0.768595,0,5.5,4.86
3g2j,-396.417,0.76196,0,5.5,4.75
3g2k,-645.751,0,23.8531,5,4.79
3g2l,-548.857,0,24.4942,5,3.87
3g2y,-241.476,0,12.7309,2,2
3g30,-292.153,0,15.5871,3,2.51
3g32,-274.022,0,9.42605,3,3.71
3g34,-257.122,0,0,2,2.96
3g35,-425.256,0,24.4148,3,4.68
3g3r,-257.922,1.06985,0,4,6.48
3g5k,-534.111,0,39.547,10,9.52
3ga5,-484.546,0.612074,0,8,5.49
3gba,-549.725,0,13.0704,6,9.07
3gbe,-275.996,0,0,3,5
3gc4,-620.573,0,45.8571,6.5,7.6
3gcp,-574.311,0,112.953,2.5,7.82
3gcs,-663.3,0,82.6098,6,7.25
3gcu,-796.042,0,105.782,4.5,6.78
3gdt,-262.952,0,0,5,7.19
3ggu,-724.901,0,52.3349,11,9.77
3gi4,-783.613,0,70.6334,11.5,10.8
3gi5,-771.424,0.193282,67.0878,11.5,11.22
3gi6,-761.509,0,70.2288,12.5,11.22
3gjw,-413.351,0,39.7532,2,8.3
3gk1,-269.195,0,41.5724,9,4.1
3gkz,-325.76,0,99.8834,3,8
3gm0,-383.246,0,69.0057,3,7.77
3gpo,-743.688,0.592523,0,11.5,5.3
3gqz,-289.369,0,42.7669,3,2.17
3gs6,-304.953,0,11.4816,8.5,6.59
3gsm,-239.523,0,6.11022,6.5,6.48
3gss,-586.575,0.118819,45.925,16.5,5.82
3gst,-624.009,0.093698,67.8536,11,6.72
3gt9,-523.546,0,53.7878,6,3.96
3gta,-530.249,0,59.6923,6,4.28
3gtc,-229.852,0,23.2632,2.5,2.35
3gus,-283.337,0,30.869,8.5,6.05
3guz,-194.78,0,10.9898,4,4.38
3gvb,-389.773,0.472111,29.2576,2.5,2.59
3gvu,-818.779,0,94.1203,6,8
3gx0,-609.642,0.0129639,6.4231,20,3.48
3gxy,-398.701,0,0.231829,17,5.59
3gy2,-474.028,0,16.6424,6.5,5.74
3gy3,-539.214,0,42.1946,11.5,5.63
3gy7,-276.942,0,7.84695,1.5,4.52
3h1x,-343.641,0,27.2271,4,5.89
3h30,-316.932,0.109558,27.4635,3.5,4.53
3h5b,-796.136,0,72.8579,11.5,10
3h78,-262.782,0,44.5085,1.5,4.24
3h89,-924.847,0.261196,102.92,21,7.64
3h8b,-914.446,0,90.2664,20.5,6.29
3hb4,-623.295,0,143.437,4,9.05
3hcm,-164.22,0,26.4739,2,3.3
3hek,-566.461,0,48.1863,5,8.27
3hf8,-687.13,0.744036,71.3734,9,6.51
3hfb,-612.147,0.604674,51.0524,8.5,7.52
3hig,-560.969,0,118.557,6.5,7.89
3hit,-857.778,0.599113,10.6018,25,8.19
3hk1,-419.064,0,24.315,7,6.17
3hkn,-521.508,0,21.6128,20,5.35
3hkq,-283.399,0,0,4.5,5.34
3hkt,-390.318,0,0,9,5.39
3hku,-443.564,0,19.1572,3.5,8.3
3hkw,-600.382,0.278397,44.1375,5.5,8.64
3hky,-589.667,0,38.8903,5.5,7.1
3hl5,-387.318,0,32.4923,7,4.47
3hl7,-510.682,0,58.618,3.5,7.64
3hl8,-319.109,0,48.63,2.5,4.49
3hll,-568.8,0,69.8599,5,8.24
3hmo,-528.099,0,74.0225,4,7.52
3hmp,-302.896,0,43.1248,3,5.49
3hp9,-372.86,0,69.2822,5,4.59
3hs4,-279.616,0,6.45577,2.5,8
3hu3,-655,0.839129,0,9.5,6.89
3hub,-663.022,0,71.1318,5,8.09
3huc,-534.702,0,103.605,3,5.99
3hv8,-736.151,0.40972,0,4,6.98
3hvh,-874.267,0.0767364,54.5426,9,8.52
3hvi,-905.001,0,60.2255,10,8.3
3hvj,-916.417,0.194831,61.0316,11,8.7
3hvk,-910.02,0,48.2101,10.5,8.52
3hww,-179.456,0,1.26762,3.5,7.12
3hx3,-425.054,0,163.193,5,8
3hzk,-354.264,0.126372,11.0089,14.5,6.7
3hzm,-253.564,0,4.85514,5.5,5.52
3hzv,-346.124,0,6.97632,14.5,6.52
3i25,-1307.22,0.27849,96.9015,20.5,8.51
3i3b,-328.087,0,0,3,2.23
3i4b,-657.137,0,56.9379,6.5,8.15
3i4y,-237.012,0,33.575,1,7.05
3i51,-302.258,0,34.6637,1,7.7
3i5z,-653.644,0,69.4988,6.5,8.7
3i60,-673.448,0,65.3212,6.5,8.7
3i6o,-872.254,0,80.704,8.5,10.35
3i73,-611.873,1.23503,0,7,5.49
3i7e,-711.83,0.128038,60.4141,11.5,10.85
3i9g,-540.58,0,100.57,18,8.96
3iae,-924.168,0.896794,49.4643,12,3.89
3ibi,-259.519,0,34.0378,8.5,8.59
3ibl,-301.294,0,28.22,12,7.84
3ibn,-310.446,0,35.2609,14,7.61
3ibu,-281.046,0,43.1219,10.5,9.15
3ie3,-258.224,0.923034,26.2387,8.5,6.68
3ies,-981.583,0,41.6008,10.5,9.92
3ifl,-766.977,0.667941,62.8568,22.5,8.08
3igp,-316.082,0,18.816,3.5,7.02
3ijh,-344.079,0,6.21042,8.5,4
3ikd,-422.197,0,46.7156,6,6.75
3ikg,-427.626,2.45966,47.7758,6,7.24
3imc,-320.805,0,18.3587,1,2.96
3ime,-254.03,0.743026,26.3724,1,3
3iob,-476.021,0,0,3.5,3.42
3ioc,-639.958,0,29.8653,7,3.68
3iod,-686.822,0,24.5895,8,4.1
3ioe,-613.248,0,2.87237,9,3.27
3iof,-350.648,0,36.7942,5.5,5.22
3iog,-242.336,0,22.2206,2.5,5.52
3ip5,-202.503,0,12.5877,1.5,6.22
3ip6,-272.137,0,23.4729,1,6.6
3ip8,-294.281,0.554661,24.4193,2,2.28
3ip9,-210.822,0,20.2846,3.5,5.62
3iph,-586.132,0,93.8164,6,7.6
3ipq,-928.884,0,233.648,12,7.57
3ipu,-720.84,0,85.3985,10,7.32
3iqu,-504.268,0.791794,14.2855,21,4.77
3isj,-436.873,0,18.6598,3,3.68
3iss,-697.321,1.03244,11.8755,15,6.05
3iub,-538.65,0,22.6329,4,4.54
3iue,-600.352,0,19.7994,6,5.82
3ivc,-630.701,0,37.9468,7,4.12
3ivx,-686.088,0,48.84,6,5.74
3iw5,-745.332,0,89.7623,9,6.08
3iw6,-571.213,0,66.1829,7,5.48
3iww,-710.541,0.915117,45.1213,10,7.96
3jdw,-198.969,0,5.20017,5,3.6
3jrs,-360.315,0.625731,67.1093,5,4.28
3jrx,-662.375,0.410103,83.5789,5,9
3juk,-688.903,0.133258,1.15348,12,4.89
3juo,-380.765,0,39.889,3,5.07
3jup,-375.262,0,59.5208,3,5.58
3juq,-366.194,0,40.3475,3,4.91
3jy0,-392.407,0.804939,39.6962,2.5,8.3
3jyr,-808.551,0,13.5366,15.5,5.54
3jzg,-395.958,0,26.6438,15,4.4
3jzh,-490.374,0,28.8628,18,3.4
3jzj,-887.294,0,11.5624,15.5,3.61
3k00,-908.248,0,0,17,5.77
3k02,-937.756,0.509067,2.0926,20,5
3k1j,-616.788,0.20498,0,7,6.4
3k2f,-545.507,0.470453,13.9538,10.5,7.2
3k37,-460.369,0.633105,24.2301,5.5,8.92
3k4d,-302.573,0.0383155,0,2.5,5.11
3k4q,-456.34,1.37266,0,12,5.34
3k5i,-278.617,1.34936,0,5.5,4.7
3k5x,-337.643,0.314154,10.9635,5.5,6.41
3k8c,-304.063,0,0,6.5,2.92
3k8o,-486.312,0,3.51716,6.5,11.07
3k8q,-407.332,0,3.17385,5,11.28
3k97,-435.72,0,33.9021,3,8
3k99,-443.879,0,38.1246,2,7.22
3kdb,-916.797,0,119.449,10,9.85
3kdc,-918.654,0,109.461,10,9.28
3kdd,-914.659,0,109.209,10,8.46
3kdm,-486.062,0,129.765,0.5,7
3kek,-802.044,0.702133,83.0252,6,8.36
3kgq,-312.89,0.843441,11.2763,4.5,2.3
3kgt,-378.21,0.2566,47.9111,1.5,5.51
3kgu,-353.052,0.186797,43.5569,1.5,5.92
3kiv,-179.368,0,27.7258,5.5,4.7
3kjd,-409.633,0,46.3862,2,8.54
3kku,-406.846,0,25.7941,6,5.7
3kmc,-490.2,0,25.0475,11,6.4
3kmx,-355.242,0,35.8951,7.5,4.82
3kmy,-308.58,0,51.1731,3,4.49
3kqr,-148.651,0,0,3.5,4.43
3kr4,-443.267,0.106908,27.0358,8,7.6
3kv2,-288.781,0,0.817071,5,7.32
3kyq,-312.128,0,52.9634,16,4.22
3l0v,-449.83,0,16.0891,3,7.64
3l1n,-293.056,0,78.5934,14,5.63
3l3l,-425.894,0,55.8368,2,7.48
3l3m,-543.691,0,68.001,2,8.22
3l3n,-679.695,0,67.2054,12.5,8.18
3l4u,-411.005,0,0,12.5,7.52
3l4v,-454.733,0,0,13,6.72
3l4w,-353.804,0,0,5.5,6
3l4x,-446.752,0,0,13,6.89
3l4y,-485.384,0,0,13,7
3l4z,-407.712,0,0,8.5,6.72
3l59,-270.463,0,32.3949,2.5,3.7
3l6h,-263.268,0,0,2,5.4
3l79,-444.115,0.367079,7.59239,3.5,2.46
3l7a,-661.236,0,19.1233,5.5,4.33
3l7c,-470.052,0.207349,6.1749,3.5,2.44
3l7d,-602.485,0,17.6107,5,2.18
3lbj,-481.448,0,73.6395,10,4.96
3lbz,-376.904,0,44.9795,4.5,3.86
3lc3,-424.651,0,18.5062,4.5,5.23
3lcu,-678.177,0,0.275339,8.5,3.52
3lcv,-679.079,0,0.487033,9,4.74
3ldp,-575.979,0,6.49707,7,5.62
3ldq,-487.537,0,1.45618,6,5.36
3le9,-500.695,0,31.4806,4,8.22
3lea,-533.987,0,36.9958,5,9.1
3lgs,-466.304,0,0,2,4.61
3lir,-647.731,0,42.4323,12,6.92
3liw,-676.636,0,78.9974,8.5,7.6
3ljg,-673.212,0,78.7144,12,7.73
3ljo,-495.412,0,14.5574,7.5,6.62
3ljz,-739.819,0,67.39,7,8.14
3lk8,-400.232,0,17.5557,5.5,7.71
3lmk,-292.429,0,11.1989,4.5,5.94
3lp4,-229.255,0,4.14743,6,4.88
3lp7,-308.475,0,2.33602,5,5.44
3lpi,-858.715,0.249581,97.4,12.5,8.52
3lpk,-928.925,0.20554,102.924,10.5,9.1
3lpl,-265.598,0,5.24904,4,5.62
3lpp,-505.047,0.556956,0,13,6.22
3lq2,-631.065,0,30.0747,8,5.22
3lvw,-400.763,0.589668,1.67697,9,2.67
3lxe,-442.854,0,13.893,3.5,6.6
3lxk,-545.983,0.109268,27.8603,3,9.8
3lzs,-727.619,0.633286,70.7859,11,10.96
3lzu,-718.42,0,68.2148,11,10.06
3lzz,-363.229,1,0,7.5,3.84
3m1k,-192.71,0,17.0644,1,5.39
3m35,-610.744,0,63.8528,7.5,7.22
3m36,-759.432,0,111.907,7.5,9.82
3m37,-764.319,0,121.603,8,9.04
3m3c,-308.564,0,2,12.5,4.06
3m3e,-301.652,0,2,12.5,4.43
3m3o,-295.337,0,2,12.5,3.6
3m3x,-388.042,0,35.7181,7.5,6.82
3m3z,-491.636,0.0112652,0,7.5,5.73
3m40,-350.459,0,24.376,4.5,6.77
3m5e,-376.722,0,39.3184,6.5,7.37
3m67,-460.704,0,34.3789,5.5,6.74
3m6r,-536.646,0,43.254,10,7.49
3m89,-561.522,1,0,9.5,6.16
3m8t,-251.25,0,26.617,2.5,4
3m8u,-926.775,0.0171956,15.8002,20,4.89
3m96,-454.582,0,43.1698,5.5,7.22
3mam,-195.365,0,0,2,4.12
3mdz,-322.984,0,17.2298,3.5,9.1
3mf5,-440.123,0,100.371,4,5.36
3mfv,-319.65,0,1.70597,5,2.52
3mfw,-257.005,0,0.107555,4,3.52
3mhc,-369.41,0,42.4252,3.5,7.96
3mhi,-370.015,0,28.933,6,6.7
3mhl,-391.811,0,28.7092,6.5,7.25
3mhm,-464.377,0,53.261,8.5,7
3mho,-392.545,0,27.0446,5.5,6.49
3mhw,-287.024,0,5.05956,0.5,2.3
3mi2,-515.048,0,0,6.5,7.77
3mi3,-254.728,0,5.85507,6,5.45
3miy,-490.785,0,68.0098,6,7.68
3mjl,-137.018,0,0,0.5,2.44
3ml2,-396.602,0,43.7132,5.5,8.05
3ml5,-283.022,0,3.94013,2.5,8.52
3mmf,-347.113,0,34.1992,7,7.43
3mna,-342.479,0,30.5641,7.5,7.39
3moe,-232.604,0.811378,0,3,4.3
3mof,-147.704,0,0,1,3.07
3moh,-187.094,0,0,3,2.84
3ms9,-291.24,0,40.4775,2.5,5.22
3mtw,-423.282,0.157245,14.057,6,7.04
3muz,-320.963,0.867513,10.258,5,3.46
3mv0,-327.527,0,0,3,3.85
3mxd,-818.496,0,66.4723,11,8.83
3mxe,-813.784,0,74.2558,11.5,10.01
3myq,-447.642,0,53.5285,5.5,7.52
3mz6,-288.5,0,46.2699,9.5,7.2
3mzc,-322.537,0,36.1892,3.5,6.65
3n0n,-362.729,0,37.5199,3.5,7.3
3n1c,-284.487,0.68551,0,6,5.22
3n2p,-399.185,0,39.5841,4.5,7.82
3n2u,-493.194,0,16.6979,11.5,7.84
3n2v,-526.156,1.10178,46.181,7,7.51
3n35,-268.152,0.77916,5.45935,4,3.37
3n3g,-424.554,0,54.5848,7,7.24
3n3j,-346.076,0,48.9385,4.5,8.48
3n4b,-350.223,0,42.7839,3.5,7.02
3n7h,-384.546,0,59.615,3,4.5
3n7o,-646.663,1,64.7996,4,7.14
3n8k,-323.141,0,12.0302,1.5,4.05
3n9r,-359.329,1,3.61883,8,7.15
3n9s,-435.835,0.911653,2.55601,9.5,5.26
3nb5,-355.922,0,42.1991,7,7.74
3nee,-389.217,0,83.7373,6.5,5.34
3neo,-500.125,0,104.262,7.5,5.92
3nes,-392.296,0,85.9643,6.5,5.62
3nex,-499.939,0,98.9775,7.5,6
3ng4,-241.829,0,0,4,5.43
3nhi,-596.198,0,153.993,15.5,8.43
3nht,-528.925,0,119.71,14.5,7.01
3ni5,-371.979,0,28.7676,12.5,7.55
3nik,-472.665,1.6604,11.7908,13.5,3.45
3nim,-504.238,0,9.60201,14.5,4.75
3njq,-447.29,0.716826,128.784,7,4.89
3nkk,-326.323,0,9.68996,1.5,4.7
3nox,-467.012,0,40.0393,3.5,8.66
3npc,-877.288,0,116.587,8,8.34
3nq3,-244.12,0,103.673,8,3.78
3nsn,-718.755,0,3.77702,19,7.19
3nu3,-731.039,0,73.4635,11,9.82
3nu4,-719.979,0,74.9276,11,8.82
3nu5,-722.222,0,72.4351,11,8.35
3nu6,-722.333,0,73.9441,11,9.3
3nu9,-686.293,0,68.3943,11,9.05
3nuj,-710.174,0,77.0633,11,9.39
3nuo,-721.353,0,75.494,11,9.8
3nw3,-700.639,0,15.1306,12.5,6.49
3nxq,-643.129,1.08805,37.0393,11,8.15
3ny3,-374.084,0,10.9479,14,4.71
3nyd,-348.086,0,19.7694,1,3.48
3nyx,-605.727,0.984272,53.7919,3,7.49
3nzk,-585.913,0,64.4048,8,9.27
3o4k,-1118.73,0,51.376,31.5,7.62
3o56,-501.319,0,39.8597,6,9.1
3o5n,-463.363,0,60.5879,3,4.76
3o5x,-322.899,0.260255,15.1477,8.5,5.28
3o75,-379.383,0.423153,0,6,6.68
3o7u,-288.793,0,0,0.5,7.28
3o84,-503.237,0,46.3591,4,7.24
3o8p,-458.045,0,63.0116,3,6.46
3o99,-772.397,0,74.0808,12,10.82
3o9a,-782.282,0,70.8563,12.5,10.7
3o9d,-807.515,0,69.0811,11.5,10.72
3o9e,-789.905,0,81.1673,12,11.3
3o9p,-597.634,0.764847,34.2977,12,6.52
3oaf,-441.097,0.0654859,46.4634,4,8.8
3obq,-596.831,0,46.9919,16,3.54
3obu,-703.936,0,44.4451,20.5,4.3
3obx,-704.746,0.326536,43.2916,21.5,3.89
3ocp,-430.627,0,0,2,7.57
3ocz,-508.76,0.297523,0,6,7.46
3odu,-434.699,0,47.3122,6,8.14
3ohi,-450.607,0.703992,4.78866,6.5,4.85
3oil,-424.811,0,34.1625,4,5.68
3oim,-382.049,0,69.9227,4,6.74
3ok9,-790.577,0,71.8992,11.5,11.23
3oku,-407.522,0,77.9705,3.5,6.36
3okv,-465.526,0,37.4782,3.5,6.23
3old,-1007.83,0.645299,10.5217,24.5,5.9
3ouj,-235.688,0,11.551,4,6.05
3ov1,-469.495,1.27829,31.841,10,5.2
3ove,-510.571,0.403669,44.2975,10.5,6.57
3ovn,-267.405,0,22.6039,1.5,2.55
3owj,-391.239,0,68.7254,1,6.07
3own,-901.714,0,87.607,9.5,7.47
3oy0,-337.171,0,38.162,5.5,8
3oy8,-289.558,0,0,11,3.66
3oyq,-335.395,0,44.322,6.5,7.99
3oyw,-262.66,0,0,8,4.11
3ozg,-518.881,0,13.8561,6.5,9.19
3ozj,-399.316,0,65.1983,2,5.11
3ozp,-525.407,0.848257,38.2844,6.5,6.62
3ozr,-465.114,0,15.6234,7,5.15
3p17,-532.593,0,64.2015,6.5,4.48
3p2e,-580.609,0,1.76641,8.5,6.22
3p3g,-583.249,0,89.2347,7,9.74
3p3r,-398.285,1.09881,45.8816,4,7.25
3p3s,-367.449,0.715383,36.6668,3,7.59
3p3t,-377.251,0,57.2055,5,7.24
3p4v,-303.478,0,28.6179,6.5,5.1
3p58,-301.264,0,8.65951,3.5,7.6
3p5l,-305.702,0,36.3526,2.5,7.39
3p7i,-202.571,0,0,2.5,7.7
3p8n,-799.168,0.706532,59.3412,13,9.28
3p8o,-748.547,1,55.6822,13,8.72
3p8p,-402.124,0,30.0246,9.5,4.55
3p8z,-744.44,0.119437,28.9008,10.5,6.09
3p9l,-1023.82,1.4694,123.046,27.5,5.3
3p9m,-987.989,0,120.115,26.5,5
3p9t,-318.072,0,45.2225,2.5,6.2
3pb7,-413.6,0,27.8743,8,5.74
3pb8,-244.363,0,11.9921,3,5.24
3pb9,-306.114,0,43.6896,2,6.58
3pbb,-415.602,0,27.5479,8.5,7.02
3pce,-285.825,0,40.315,2.5,2
3pcf,-283.39,0,35.5569,1.5,6.05
3pcg,-285.398,0,43.1765,2.5,2.3
3pcj,-293.024,0,22.879,1.5,7.22
3pck,-289.169,0,27.5201,1.5,6.7
3pcn,-301.502,0,43.0634,3,3.66
3pd8,-366.484,0.848761,12.0874,1,6.46
3pd9,-374.314,1,10.7521,1,6.22
3pe1,-524.566,0,84.7834,3,9.65
3pe2,-537.037,0,81.6495,3,9.76
3pfp,-421.231,1.18446,6.21465,9,6.44
3pgl,-296.58,0,21.8487,7.5,5.3
3pgu,-307.345,0,34.3535,7,6.7
3pju,-832.574,0.0832842,0,5,4.88
3pn1,-496.797,0,16.0115,8,6.96
3pn4,-543.253,0,52.932,10,6.85
3po1,-487.388,0,20.715,5.5,4.02
3po6,-339.66,0,19.4426,3.5,7.06
3ppm,-602.453,0,97.7329,8,9.54
3ppp,-224.156,0.353005,0,2,5.22
3ppq,-206.053,0,0,2.5,4.55
3ppr,-274.015,0.814045,21.8138,1,2.82
3ps1,-575.177,0,81.1561,7.5,10.17
3pwd,-383.339,0,70.3014,1.5,6.66
3pwk,-215.164,0,6.40976,2,3.35
3pwm,-752.886,0,69.5914,11,9.1
3q1x,-196.265,0,0,3,5.33
3q2j,-355.908,0,50.9561,4.5,4.18
3q44,-677.303,1,76.0246,11,6.31
3q6w,-743.441,0.723836,68.0331,7,7.57
3q6z,-644.575,0,0,11.5,3.72
3q71,-753.535,1,0,11.5,5.22
3q7q,-491.054,0,0,9.5,5.65
3qaa,-781.851,0.201755,70.5564,12.5,11.54
3qbc,-295.384,0,0,1,4.97
3qdd,-454.419,0,44.7935,3,8.77
3qfd,-838.902,0.975654,64.9761,21,4.17
3qfy,-254.232,0,7.78297,2.5,6.12
3qfz,-260.13,0,0,3,3.24
3qgw,-496.333,0,66.5741,4.5,5.89
